combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
357,0.7765891058215209,0.7533578984904314,0.5,0.01,10,10,100
358,0.7154022168731984,0.7081897064067515,0.5,0.01,10,100,10
359,0.7198003031113488,0.712231070961607,0.5,0.01,10,100,50
360,0.727140352441235,0.7179365268037561,0.5,0.01,10,100,100
361,0.7153130664764792,0.7111612979912041,0.5,0.1,3,1,10
362,0.7572434697334404,0.7514560798763817,0.5,0.1,3,1,50
363,0.7764702386258953,0.7699988113633662,0.5,0.1,3,1,100
364,0.7144215625092865,0.7108047070010698,0.5,0.1,3,10,10
365,0.7565302665596861,0.7508617615594912,0.5,0.1,3,10,50
366,0.7740928947133815,0.7689290383929632,0.5,0.1,3,10,100
367,0.7076758491575288,0.7039106145251397,0.5,0.1,3,100,10
368,0.7449704317850881,0.7396885772019494,0.5,0.1,3,100,50
369,0.7629193783245669,0.7594199453227148,0.5,0.1,3,100,100
370,0.7480906956702624,0.7374301675977654,0.5,0.1,5,1,10
371,0.7867522510475171,0.7689290383929632,0.5,0.1,5,1,50
372,0.8041068616088675,0.7749910852252466,0.5,0.1,5,1,100
373,0.7455647677632166,0.7363603946273625,0.5,0.1,5,10,10
374,0.7805117232771686,0.7701176750267443,0.5,0.1,5,10,50
375,0.7928144780244272,0.7772494948294306,0.5,0.1,5,10,100
376,0.720513506285103,0.7150837988826816,0.5,0.1,5,100,10
377,0.7585807256842293,0.7501485795792227,0.5,0.1,5,100,50
378,0.77427119550682,0.765244264828242,0.5,0.1,5,100,100
379,0.7888621437698731,0.7532390348270533,0.5,0.1,8,1,10
380,0.840004754687825,0.7698799476999881,0.5,0.1,8,1,50
381,0.8741790734302101,0.7760608581956496,0.5,0.1,8,1,100
382,0.767436331758343,0.7480090336384168,0.5,0.1,8,10,10
383,0.8000950937565006,0.7726138119576845,0.5,0.1,8,10,50
384,0.8157261299812785,0.7759419945322715,0.5,0.1,8,10,100
